2026-04-25 09:30:58 | INFO     | csv_ingestion |   Metadata written: D:\Data\Portfolio\Projects\Python\e2e-pipeline\data_lake/raw\order_reviews\csv\2026-04-25\olist_order_reviews_dataset.csv.meta.json
2026-04-25 09:30:58 | INFO     | csv_ingestion |   [OK] SUCCESS - olist_order_reviews_dataset.csv
2026-04-25 09:30:58 | INFO     | csv_ingestion | --------------------------------------------------
2026-04-25 09:30:58 | INFO     | csv_ingestion | Ingesting: olist_order_payments_dataset.csv  ->  source=order_payments
2026-04-25 09:30:58 | INFO     | csv_ingestion |   Reading source: D:\Data\Portfolio\Projects\Python\e2e-pipeline\dataset\olist_order_payments_dataset.csv
2026-04-25 09:30:58 | INFO     | csv_ingestion |   Rows=103,886  Columns=5  Cols=['order_id', 'payment_sequential', 'payment_type', 'payment_installments', 'payment_value']
2026-04-25 09:30:58 | INFO     | csv_ingestion |   Copied to: D:\Data\Portfolio\Projects\Python\e2e-pipeline\data_lake/raw\order_payments\csv\2026-04-25\olist_order_payments_dataset.csv
2026-04-25 09:30:58 | INFO     | csv_ingestion |   MD5 checksum: 75ce0c041d18e5f250c5cea9a8042944
2026-04-25 09:30:58 | INFO     | csv_ingestion |   Metadata written: D:\Data\Portfolio\Projects\Python\e2e-pipeline\data_lake/raw\order_payments\csv\2026-04-25\olist_order_payments_dataset.csv.meta.json
2026-04-25 09:30:58 | INFO     | csv_ingestion |   [OK] SUCCESS - olist_order_payments_dataset.csv
2026-04-25 09:30:58 | INFO     | csv_ingestion | --------------------------------------------------
2026-04-25 09:30:58 | INFO     | csv_ingestion | Ingesting: olist_sellers_dataset.csv  ->  source=sellers
2026-04-25 09:30:58 | INFO     | csv_ingestion |   Reading source: D:\Data\Portfolio\Projects\Python\e2e-pipeline\dataset\olist_sellers_dataset.csv
2026-04-25 09:30:58 | INFO     | csv_ingestion |   Rows=3,095  Columns=4  Cols=['seller_id', 'seller_zip_code_prefix', 'seller_city', 'seller_state']
2026-04-25 09:30:58 | INFO     | csv_ingestion |   Copied to: D:\Data\Portfolio\Projects\Python\e2e-pipeline\data_lake/raw\sellers\csv\2026-04-25\olist_sellers_dataset.csv
2026-04-25 09:30:58 | INFO     | csv_ingestion |   MD5 checksum: 5b22c02facdf842d6c0aea36e1849018
2026-04-25 09:30:58 | INFO     | csv_ingestion |   Metadata written: D:\Data\Portfolio\Projects\Python\e2e-pipeline\data_lake/raw\sellers\csv\2026-04-25\olist_sellers_dataset.csv.meta.json
2026-04-25 09:30:58 | INFO     | csv_ingestion |   [OK] SUCCESS - olist_sellers_dataset.csv
2026-04-25 09:30:58 | INFO     | csv_ingestion | --------------------------------------------------
2026-04-25 09:30:58 | INFO     | csv_ingestion | Ingesting: olist_geolocation_dataset.csv  ->  source=geolocation
2026-04-25 09:30:58 | INFO     | csv_ingestion |   Reading source: D:\Data\Portfolio\Projects\Python\e2e-pipeline\dataset\olist_geolocation_dataset.csv
2026-04-25 09:30:59 | INFO     | csv_ingestion |   Rows=1,000,163  Columns=5  Cols=['geolocation_zip_code_prefix', 'geolocation_lat', 'geolocation_lng', 'geolocation_city', 'geolocation_state']
