2026-04-25 09:31:14 | INFO     | preparation |     [OK] 08_payment_type_distribution.png
2026-04-25 09:31:14 | INFO     | preparation |   All plots saved to: D:\Data\Portfolio\Projects\Python\e2e-pipeline\reports\20260425_093108_eda_plots
2026-04-25 09:31:14 | INFO     | preparation | [6] Saving prepared datasets...
2026-04-25 09:31:17 | INFO     | preparation |     Transactions: D:\Data\Portfolio\Projects\Python\e2e-pipeline\data_lake\curated\prepared\2026-04-25\transactions.csv (113,314 rows)
2026-04-25 09:31:18 | INFO     | preparation |     Interactions: D:\Data\Portfolio\Projects\Python\e2e-pipeline\data_lake\curated\prepared\2026-04-25\user_item_interactions.csv (98,892 rows)
2026-04-25 09:31:18 | INFO     | preparation |     Products: D:\Data\Portfolio\Projects\Python\e2e-pipeline\data_lake\curated\prepared\2026-04-25\products_cleaned.csv (32,951 rows)
2026-04-25 09:31:18 | INFO     | preparation |     Customers: D:\Data\Portfolio\Projects\Python\e2e-pipeline\data_lake\curated\prepared\2026-04-25\customers_cleaned.csv (96,096 rows)
2026-04-25 09:31:18 | INFO     | preparation |     Summary: D:\Data\Portfolio\Projects\Python\e2e-pipeline\data_lake\curated\prepared\2026-04-25\20260425_093108_preparation_summary.json
2026-04-25 09:31:18 | INFO     | preparation | ======================================================================
2026-04-25 09:31:18 | INFO     | preparation | DATA PREPARATION & EDA - COMPLETE
2026-04-25 09:31:18 | INFO     | preparation |   Transactions : 113,314
2026-04-25 09:31:18 | INFO     | preparation |   Users        : 95,378
2026-04-25 09:31:18 | INFO     | preparation |   Products     : 32,951
2026-04-25 09:31:18 | INFO     | preparation |   Interactions : 98,892
2026-04-25 09:31:18 | INFO     | preparation |   Sparsity     : 99.9969%
2026-04-25 09:31:18 | INFO     | preparation | ======================================================================
